2514514
STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TMAX,TMIN
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2015-06,64.0,73.7,54.2
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2015-07,68.6,77.9,59.4
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2015-08,69.2,79.2,59.2
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2015-09,71.3,83.9,58.6
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2015-10,68.7,81.0,56.4
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2015-11,56.9,70.6,43.2
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2015-12,51.5,64.2,38.9
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2016-01,55.1,64.4,45.8
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2016-02,59.7,75.2,44.2
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2016-03,58.2,68.7,47.8
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2016-04,61.1,74.0,48.3
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2016-05,59.4,68.5,50.3
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2016-06,62.3,73.5,51.1
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2016-07,62.9,73.0,52.8
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2016-08,62.4,70.8,53.9
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2016-09,64.1,76.2,52.0
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2016-10,62.4,74.9,49.9
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2016-11,57.1,70.3,43.9
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2016-12,51.4,62.2,40.6
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2017-01,50.5,60.8,40.2
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2017-02,53.5,60.8,46.1
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2017-03,57.3,69.6,45.0
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2017-04,58.0,70.6,45.5
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2017-05,59.0,69.6,48.5
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2017-06,61.5,72.2,50.8
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2017-07,64.6,75.3,53.9
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2017-08,66.0,75.5,56.6
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2017-09,68.1,80.1,56.1
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2017-10,65.3,80.3,50.3
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2017-11,60.9,73.6,48.3
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2017-12,55.1,71.9,38.4
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2018-01,57.4,69.8,44.9
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2018-02,53.6,68.6,38.5
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2018-03,54.9,65.5,44.2
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2018-04,57.9,69.0,46.8
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2018-05,58.9,67.7,50.2
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2018-06,61.8,72.3,51.4
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2018-07,67.3,77.7,56.8
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2018-08,66.5,77.0,56.0
